webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:51 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:52 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:57 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:58 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:32:59 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:01 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:02 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:04 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:05 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:13 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:15 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:15 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:17 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:19 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:20 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:21 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:23 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:27 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:27 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:29 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:32 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:36 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:37 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:39 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
webserver-1  | 172.20.0.3 - - [18/Mar/2026:08:33:42 +0000] "GET / HTTP/1.1" 200 896 "-" "python-requests/2.32.5" "-"
